order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year
CA-2011-103800,4/1/2011,8/1/2011,Standard Class,Darren Powers,Consumer,Texas,United States,US,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16,2,0.2,5.5512,1.82,High,2011
CA-2011-112326,5/1/2011,9/1/2011,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273,3,0.2,-64.7748,13.59,High,2011
CA-2011-112326,5/1/2011,9/1/2011,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12,3,0.2,4.2717,0.99,High,2011
CA-2011-112326,5/1/2011,9/1/2011,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4,2,0.8,-5.487,0.55,High,2011
CA-2011-141817,6/1/2011,13-01-2011,Standard Class,Mick Brown,Consumer,Pennsylvania,United States,US,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20,3,0.2,4.884,1.85,Low,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"2,574",9,0,746.4078,258.99,High,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610,2,0,274.491,88.07,High,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392,2,0,113.6742,62.37,High,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,0,204.1092,13.82,High,2011
CA-2011-130813,7/1/2011,9/1/2011,Second Class,Lycoris Saunders,Consumer,California,United States,US,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0,9.3312,4.37,High,2011
CA-2011-106054,7/1/2011,8/1/2011,First Class,Jack O'Briant,Corporate,Georgia,United States,US,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13,3,0,5.2398,3.51,Critical,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31,4,0,0.3112,2.19,High,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7,1,0,3.0084,1.13,High,2011
CA-2011-167199,7/1/2011,11/1/2011,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5,2,0,1.4796,0.52,High,2011
CA-2011-105417,8/1/2011,13-01-2011,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77,3,0.6,-53.7096,6.69,Medium,2011
CA-2011-105417,8/1/2011,13-01-2011,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10,7,0.8,-18.2525,0.63,Medium,2011
CA-2011-135405,10/1/2011,14-01-2011,Standard Class,Melanie Seite,Consumer,Texas,United States,US,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31,3,0.2,9.75,1.13,Medium,2011
CA-2011-135405,10/1/2011,14-01-2011,Standard Class,Melanie Seite,Consumer,Texas,United States,US,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9,2,0.2,1.168,0.21,Medium,2011
CA-2011-149020,11/1/2011,16-01-2011,Standard Class,Anthony Jacobs,Corporate,Virginia,United States,US,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52,1,0,21.2954,3.52,Medium,2011
CA-2011-149020,11/1/2011,16-01-2011,Standard Class,Anthony Jacobs,Corporate,Virginia,United States,US,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,3,1,0,1.3583,0.22,Medium,2011
CA-2011-130092,12/1/2011,15-01-2011,First Class,Seth Vernon,Consumer,Delaware,United States,US,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",10,2,0,3.0814,2.69,Critical,2011
CA-2011-157147,14-01-2011,19-01-2011,Standard Class,Brian Dahlen,Consumer,California,United States,US,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,"1,326",5,0,238.653,187.65,High,2011
CA-2011-162775,14-01-2011,16-01-2011,Second Class,Chris Selesnick,Corporate,Louisiana,United States,US,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,573,6,0,34.3548,146.29,Critical,2011
CA-2011-162775,14-01-2011,16-01-2011,Second Class,Chris Selesnick,Corporate,Louisiana,United States,US,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,647,6,0,258.696,141.35,Critical,2011
CA-2011-109232,14-01-2011,17-01-2011,Second Class,Natalie DeCherney,Consumer,South Carolina,United States,US,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,546,6,0,87.3504,52.32,Medium,2011
CA-2011-157147,14-01-2011,19-01-2011,Standard Class,Brian Dahlen,Consumer,California,United States,US,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,0.15,3.9294,40.44,High,2011
CA-2011-162775,14-01-2011,16-01-2011,Second Class,Chris Selesnick,Corporate,Louisiana,United States,US,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,51,3,0,25.47,12.66,Critical,2011
CA-2011-157147,14-01-2011,19-01-2011,Standard Class,Brian Dahlen,Consumer,California,United States,US,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,20,5,0,6.567,3.03,High,2011
CA-2011-162775,14-01-2011,16-01-2011,Second Class,Chris Selesnick,Corporate,Louisiana,United States,US,South,OFF-EN-10001990,Office Supplies,Envelopes,Staples,11,2,0,5.3392,2.88,Critical,2011
CA-2011-118192,14-01-2011,19-01-2011,Standard Class,Michael Moore,Consumer,Ohio,United States,US,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37,7,0.2,13.0928,1.46,Medium,2011
CA-2011-162775,14-01-2011,16-01-2011,Second Class,Chris Selesnick,Corporate,Louisiana,United States,US,South,OFF-BI-10004187,Office Supplies,Binders,Staples,6,3,0,2.7072,0.85,Critical,2011
CA-2011-118192,14-01-2011,19-01-2011,Standard Class,Michael Moore,Consumer,Ohio,United States,US,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3,2,0.7,-2.5212,0.27,Medium,2011
CA-2011-149524,15-01-2011,16-01-2011,First Class,Brendan Sweed,Corporate,Pennsylvania,United States,US,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,62,4,0.5,-53.2856,10.96,High,2011
CA-2011-103366,16-01-2011,18-01-2011,First Class,Erica Hackney,Consumer,Georgia,United States,US,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150,5,0,65.978,45.24,Critical,2011
CA-2011-115791,17-01-2011,19-01-2011,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,US,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127,6,0.2,28.5984,36.4,Critical,2011
CA-2011-115791,17-01-2011,19-01-2011,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,US,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124,3,0.4,-31.05,26.12,Critical,2011
CA-2011-115791,17-01-2011,19-01-2011,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,US,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30,3,0.2,10.1493,10.17,Critical,2011
CA-2011-115791,17-01-2011,19-01-2011,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,US,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,19,2,0.7,-13.6312,5.26,Critical,2011
CA-2011-123477,19-01-2011,22-01-2011,Second Class,David Wiener,Corporate,Oregon,United States,US,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,65,4,0.2,6.4864,5.04,High,2011
CA-2011-146591,20-01-2011,21-01-2011,First Class,Toby Swindell,Consumer,Arizona,United States,US,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181,5,0.7,-320.597,29.68,Medium,2011
CA-2011-146591,20-01-2011,21-01-2011,First Class,Toby Swindell,Consumer,Arizona,United States,US,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56,4,0.2,19.6224,14.49,Medium,2011
CA-2011-146591,20-01-2011,21-01-2011,First Class,Toby Swindell,Consumer,Arizona,United States,US,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109,5,0.2,36.693,10.39,Medium,2011
CA-2011-146591,20-01-2011,21-01-2011,First Class,Toby Swindell,Consumer,Arizona,United States,US,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32,10,0.7,-23.716,6.03,Medium,2011
US-2011-147627,21-01-2011,27-01-2011,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,US,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,"1,068",3,0,224.2674,85.72,Medium,2011
US-2011-147627,21-01-2011,27-01-2011,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,US,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,700,7,0,181.9818,31.52,Medium,2011
CA-2011-167927,21-01-2011,27-01-2011,Standard Class,Xylona Preis,Consumer,Michigan,United States,US,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273,3,0,30.0234,20.68,Medium,2011
CA-2011-167927,21-01-2011,27-01-2011,Standard Class,Xylona Preis,Consumer,Michigan,United States,US,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248,4,0.1,93.5816,14.53,Medium,2011
CA-2011-167927,21-01-2011,27-01-2011,Standard Class,Xylona Preis,Consumer,Michigan,United States,US,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67,2,0,15.9792,8.4,Medium,2011
CA-2011-167927,21-01-2011,27-01-2011,Standard Class,Xylona Preis,Consumer,Michigan,United States,US,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44,3,0,12.7368,4.88,Medium,2011
